id	link	name	owner_name	catalog_type	owner_type	software	langs	content_types	access_mode	countries	tags	status	api	owner_link	catalog_export	api_status
datossaludgobar	http://datos.salud.gob.ar	Datos Abiertos del Ministerio de Salud	Ministerio de Salud	Open data portal	Central government	CKAN	ES	dataset	open	Argentina	government,has_api	active	True	https://salud.gob.ar		active
datostransportegobar	https://datos.transporte.gob.ar	Datos abiertos del Ministerio de Transporte	Ministerio de Transporte	Open data portal	Central government	CKAN	ES	dataset	open	Argentina	government,has_api	active	True	https://transporte.gob.ar		active
datosyveragobar	https://datos.yvera.gob.ar	Datos Abiertos de Turismo	Ministerio de Turismo y Deportes	Open data portal	Central government	CKAN	ES	dataset	open	Argentina	government,has_api	active	True	https://www.yvera.tur.ar		active
transparenciaenargasgobar	https://transparencia.enargas.gob.ar	Datos Abiertos del Ente Nacional Regulador del Gas	Ente Nacional Regulador del Gas	Open data portal	Central government	CKAN	ES	dataset	open	Argentina	government,has_api	active	True			active
dacytarmincytgobar	https://dacytar.mincyt.gob.ar	DACyTAr - Datos Primarios en Acceso Abierto de la Ciencia y la Tecnología Argentina	Ministerio de Ciencia, Tecnología e Innovación	Scientific data repository	Academy	Custom software	ES	dataset	open,limited	Argentina	scientific	active	True	https://mincyt.gob.ar		uncertain
dataverseunreduar	https://dataverse.unr.edu.ar	Repositorio de Datos Académicos RDA-UNR	Universidad Nacional de Rosario	Scientific data repository	Academy	Dataverse	ES	dataset	open	Argentina	scientific,has_api	active	True			active
repositoriosdigitalesmincytgobar	https://repositoriosdigitales.mincyt.gob.ar	Sistema Nacional de Repositorios Digitales	Ministerio de Ciencia, Tecnología e Innovación	Scientific data repository	Academy	Custom software	ES	dataset	open,limited	Argentina	scientific	active	True	https://mincyt.gob.ar		uncertain
metadatasbsgovws	http://metadata.sbs.gov.ws	Samoa National Data Archive	Samoa Bureau of Statistics	Microdata catalog	Central government	NADA	EN	microdata		Samoa	government,has_api,microdata	active	True	http://www.sbs.gov.ws		uncertain
dataaseanstatsorg	https://data.aseanstats.org	ASEANStatsDataPortal	ASEAN Statistics Division (ASEANstats)	Indicators catalog	International	Custom software	EN	indicator,dataset	open	ASEAN	statistics	active				uncertain
als-ktn	https://gis.ktn.gv.at/ogd/custom/stac_cat_ktn/catalog.json	ALS Raster Kaernten	Land Karnten Austria	Geoportal	Central government	Stac-server	EN	dataset,map_layer	public	Austria	geospatial,government,has_api	active	True			active
als-raster-kaernten-2023	https://gis.ktn.gv.at/ogd/custom/stac_cat_ktn/STAC_2023/kagis-catalog/catalog.json	ALS Raster Kaernten 2023	Land Karnten Austria	Geoportal	Central government	Stac-server	EN	dataset,map_layer	public	Austria	geospatial,government,has_api	active	True			active
