id,uid,link,software_idstatus
egriddataorg,temp00000935,https://egriddata.org/,dkan,undetected
geocataloguesmavdorg,temp00000938,https://geocatalogue.smavd.org,opendatasoft,undetected
opendatasyngentaagroknowcom,temp00000954,https://opendata.syngenta.agroknow.com/rna,dkan,undetected
wascaldataportalorg,temp00000970,https://wascal-dataportal.org,dkan,undetected
wwwmarsagccstatorg,temp00000985,https://www.marsa.gccstat.org/,dkan,undetected
ktlddrhcmpccomvn,temp00001090,https://ktlddr.hcmpc.com.vn/web/rest/services,arcgisserver,undetected
opendatahcmgisvn,temp00001093,https://opendata.hcmgis.vn/geoserver/web/,geoserver,undetected
prgrdhcmpccomvn,temp00001095,https://prgrd.hcmpc.com.vn/arcgis/rest/services,arcgisserver,undetected
wwwgiscloudvn,temp00001098,https://www.giscloud.vn/geoserver/web/,geoserver,undetected
datalongangovvn,temp00001101,https://data.longan.gov.vn,ckan,undetected
extranetwhoint,temp00001103,https://extranet.who.int/maps/rest/services,arcgisserver,undetected
phmecvuemoaint,temp00001113,https://phmecv.uemoa.int/nada/index.php/catalog,nada,undetected
amatholegisgovza,temp00001114,https://amatholegis.gov.za/arcgis/rest/services,arcgisserver,undetected
wwwgreaterkrugerlandscapecoza,temp00001122,https://www.greaterkrugerlandscape.co.za/,arcgisserver,undetected
