id	link	name	owner_name	owner_link	catalog_type	owner_type	software	langs	content_types	access_mode	countries	tags	status	api	catalog_export	api_status
insightsyorkopendataarcgiscom	https://insights-york.opendata.arcgis.com	Region Of York Open Data	Region Of York	https://york.ca	Open data portal	Local government	ArcGIS Hub	EN	dataset	open	Canada	government	active	TRUE	https://insights-york.opendata.arcgis.com/api/feed/dcat-ap/2.0.1.json	active
abacuslibraryubcca	https://abacus.library.ubc.ca	Abacus Data Network	Libraries at Simon Fraser University	https://library.ubc.ca	Scientific data repository	Academy	Dataverse	EN	dataset	open	Canada	scientific,has_api	active	TRUE		active
borealisdataca	https://borealisdata.ca	Borealis, the Canadian Dataverse Repository	Bureau de Coopération Interuniversitaire (BCI)	https://www.bci-qc.ca	Scientific data repository	Academy	Dataverse	EN	dataset	open	Canada	scientific,has_api	active	TRUE		active
cataloguecioosatlanticca	https://catalogue.cioosatlantic.ca	The Canadian Integrated Ocean Observing System (CIOOS) data catalog	The Canadian Integrated Ocean Observing System (CIOOS)	https://cioos.ca	Open data portal	Academy	CKAN	EN	dataset	open	Canada	government,has_api	active	TRUE		active
dataverselibumanitobaca	https://dataverse.lib.umanitoba.ca	University of Manitoba Dataverse	University of Manitoba	https://umanitoba.ca	Scientific data repository	Academy	Dataverse	EN	dataset	open	Canada	scientific,has_api	active	TRUE		active
dataverselibunbca	https://dataverse.lib.unb.ca	UNB Libraries Dataverse	UNB Libraries	https://lib.unb.ca	Scientific data repository	Academy	Dataverse	EN	dataset	open	Canada	scientific,has_api	active	TRUE		active
opencaribbeanorg	http://opencaribbean.org	openCARIBBEAN	Caribbean Open Institute	https://caribbeanopeninstitute.org	Open data portal	Civil society	CKAN	EN	dataset	open	Caribbean	has_api	active	TRUE		active
portalcrfmint	https://portal.crfm.int	Caribbean Regional Fisheries Mechanism portal	Caribbean Regional Fisheries Mechanism.	https://crfm.int	Open data portal	Civil society	CKAN	EN	dataset	open	Caribbean	has_api	active	TRUE		active
datageoadminch	https://data.geo.admin.ch/api/stac/v0.9/	data.geo.admin.ch	Swiss Confederation Federal Administration	https://admin.ch	Geoportal	Central government	Stac-server	EN	dataset,map_layer	public	Switzerland	geospatial,government,has_api	active	TRUE		uncertain
geonetworkswissdatacubeorg	http://geonetwork.swissdatacube.org/geonetwork	SwissEnvEO	Swiss Data cube	https://www.swissdatacube.org	Geoportal	Academy	Geonetwork	DE,EN	dataset,map_layer	open	Switzerland	geospatial,has_api	active	TRUE		active
wwwgeocatch	https://www.geocat.ch/geonetwork	Geocat.ch geographic	Bundesamt für Landestopografie swisstopo	https://www.swisstopo.admin.ch	Geoportal	Central government	Geonetwork	DE,EN	dataset,map_layer	open	Switzerland	geospatial,has_api	active	TRUE		active
wwwpxwebbfsadminch	https://www.pxweb.bfs.admin.ch	STAT-TAB (Switzerland)	Switzerland Federal Statistical Office	https://bfs.admin.ch	Indicators catalog	Central government	PxWeb	EN	indicator	open	Switzerland	statistics,government	active			uncertain
datablch	https://data.bl.ch	Datenportal Kantons Basel-Landschaft	Kantons Basel-Landschaft	https://www.bl.ch	Open data portal	Regional government	OpenDataSoft	DE	dataset	open	Switzerland	government,has_api	active	TRUE		uncertain
