name,length,fixed,c
LA-SV,5,LA-SV,1
MZA,3,MZA,1
HN-SD,5,HN-SD,1
CH-TG,5,CH-TG,1
FR-69,5,FR-69,1
IN-KA,5,IN-KA,1
IN-TG,5,IN-TG,1
TR-27,5,TR-27,1
AUS-QLD,7,AU-QLD,1
999,3,999,1
FR-O (Hauts-de-France),22,FR-O,1
NL-XX,5,NL-XX,1
NZ-WTC,6,NZ-WTC,1
SOU,3,SOU,1
AE-FU,5,AE-FU,1
ARM,3,ARM,1
CO-RIS,6,CO-RIS,1
ID-MB,5,ID-MB,1
IT-65,5,IT-65,1
MD-undefined,12,,1
Not specified in accessible metadata,36,,1
ARK,3,ARK,1
AT-8,4,AT-8,1
CHN-11,6,CHN-11,1
Finland,7,,1
GB-HEF,6,GB-HEF,1
"GB-ENG (England, as regional breakdown not ISO 3166-2 for South Oxfordshire; the correct full ISO would be county-specific, e.g. OXON for Oxfordshire, but 'GB-ENG' is used as admin level 1)",189,GB-ENG,1
ID-KA,5,ID-KA,1
IT-57,5,IT-57,1
JP-15,5,JP-15,1
LT-VL (Vilnius County; Ukmergė is in Vilnius County),52,LT-VL,1
SVC,3,SVC,1
Not available at root level,27,,1
VANL,4,,1
CL-VS,5,CL-VS,1
AMCA,4,,1
RU-MUR,6,RU-MUR,1
RU-RYA,6,RU-RYA,1
SK-KI,5,SK-KI,1
TR-77,5,TR-77,1
No subregion code available from source.,40,,1
US-CO-Jefferson,15,US-CO,1
JPT13,5,JP-13,1
GB-GRE,6,GB-GRE,1
ES-BA,5,ES-BA,1
A-FR-RGE,8,FR-RGE,1
"FR-2A,FR-2B",11,FR-2A,1
GB-RCC,6,GB-RCC,1
NOT_STATED,10,,1
"ID-JW,ID-KA,ID-NU,ID-PA,ID-SL,ID-SM,ID-SN,ID-SS,ID-BA,ID-BB,ID-BE,ID-GO,ID-JA,ID-JB,ID-JI,ID-JK,ID-JT,ID-KB,ID-KI,ID-KR,ID-KS,ID-KT,ID-LA,ID-MA,ID-MU,ID-NB,ID-NT,ID-PB,ID-RI,ID-SA,ID-SB,ID-SG,ID-ST,ID-SU,ID-YO",209,,1
IT-52 (Tuscany),15,IT-52,1
TH-76,5,TH-76,1
XKX,3,XKX,1
VN-54,5,VN-54,1
CBA,3,CBA,1
EC-L,4,EC-L,1
ES-VC,5,ES-VC,1
MA-XX,5,MA-XX,1
TAB,3,TAB,1
NL-5,4,NL-5,1
NO-030,6,NO-030,1
RU-SFD,6,RU-SFD,1
AF-ZM,5,AF-ZM,1
BIH,3,BIH,1
FI-10,5,FI-10,1
GR-ESYE31,9,GR-I,1
KBR,3,KBR,1
LIM,3,LIM,1
"TH-XX (if available, else blank)",32,TH-XX,1
AJ,2,,1
CA-PE,5,CA-PE,1
IT-MI,5,IT-MI,1
KZ-AKM,6,KZ-AKM,1
MX-OAX,6,MX-OAX,1
SE088 (Kalmar län),18,SE-08,1
UA-14,5,UA-14,1
EG-ALX,6,EG-ALX,1
