nom de plateforme,ok,Région,grappe,type,collab,url,Lien,image,nb_datasets,techno,dev,Couverture,Porteur,porteur_type,porteur_statut,porteur_siren,theme
Gwad'Air,checked,Guadeloupe,ATMO,Géoportail,Dédié,https://data-gwadair.opendata.arcgis.com,https://data-gwadair.opendata.arcgis.com,download.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/BTAunGVwK9CWgdkNNNZ-xw/2RkjJXiQNuwH19bPH6cyfGdtTLaddwWRsygZH_e1mLhxOFSuJC_-bLrrfR15U1jpgWpASeHHx6cUBkrrL7HA-nnNXKnL4vzibtPuFiJlMQ4wudmdVhAt1mg1ILso5q7ztzxwtQIdGcV5nENGoYWdLw/qy96_AfIARtrrOUCWDnyBpNWID-KUdPp0AD4hLk5ZRg),11,ArcGIS,esri,Régionale,https://annuaire-entreprises.data.gouv.fr/entreprise/442638698,Autre acteur territorial,OACT,442638698,Environnement
KaruGéo,checked,Guadeloupe,IDG,Géoportail,Partenarial,https://www.karugeo.fr/geonetwork/,https://www.karugeo.fr/geonetwork/,download.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/PflGs8qVcCdSFt9i3VS53g/xxRYuQDvWyx9L6n4VXjK4vXi64yN7fQtxIs1iAImWpN0f2jRwP_3nkuOs0bq1b-dm-03P38KpDDh_4YmK7gn50I6Ahzg-HMkoKmSeSW7U3hyLrwvXyp6OIQgM_PSPducqHrYLl1QYYDaiaEDpfTmCg/JBaloqAnuJa7-g7tfFrf8UczYtlj_LgrxRKYa9ViwT0),495,GeoNetwork,alkante,Régionale,https://annuaire-entreprises.data.gouv.fr/entreprise/239710015,Collectivité locale,REG,239710015,Généraliste
Data CACL,checked,Guyane,,Portail,Partagé,https://data.cacl-guyane.fr,https://data.cacl-guyane.fr,téléchargement.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/SUdoIS68dsKIa01ZesCARg/5P8Zkxytr1oYhDIKC0SKU37iaAEVFtxVM7cRYjFOoUOV2yvArNpPDX6gwVZxQp6gW7HxdCtbGMIR4mW568Ku4vimsM8YHTj9ttGgR8gy5rxXyspPcJmKo1W6JzFel9LYmvvqcLXFcJP2r5JeWBM4yA/-uUyVK4hdmNgS5wsWMc83d_shgC-fV7EFZBuOPzRC90),48,Mobapi,mobapi,Intercommunale,https://annuaire-entreprises.data.gouv.fr/entreprise/249730045,Collectivité locale,CA,249730045,Généraliste
Guyane SIG,checked,Guyane,,Géoportail,Dédié,https://catalogue.guyane-sig.fr/geonetwork/,https://catalogue.guyane-sig.fr/geonetwork/,guyanesig.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/H4YU9Lwl2WuloxWhrgmX-Q/wTwmh61bvsd3tOvSufrLIVyWRKVM5SKrBaYH1qfi1AQUsKtHhqn-hPLppMMv8B9BX-SzLMnPMsOVLPXSmEArIuHks96DsY5FPhvt3LUOJZH60i6zaVc-IfazifCis85dk3ONc4wG4fIeAXTLxjVYJw/slFAH00pjYv1UBfN5O6bOc3saDvp2wv_W7t72I-KmG8),2074,GeoNetwork,ataraxie,Régionale,https://annuaire-entreprises.data.gouv.fr/entreprise/200052678,Collectivité locale,REG,200052678,Généraliste
GéoGuyane,checked,Guyane,IDG,Géoportail,Partenarial,https://www.geoguyane.fr/geonetwork/,https://www.geoguyane.fr/geonetwork/,download.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/i_z-7_iBdS9h_0CKiUwPXQ/R4Gqbo2dEjzfWM2aJxGAURXYR0ssanqn5YyUPuFM65w-dzWv5EYo0R1eTOWRa3qEuMieZLtVgy0DcD3Qv2iT8IZFfCqZIBxX4TBSbBZSGUl8r12mC_8rt8l76u_hvFQ1z5e63nRNwek7IAv3LFUgzg/m2JS0reK5bl6TlxqyQKVyNJ_nx3njzEHZYfYr4ABkoo),2296,GeoNetwork,alkante,Régionale,https://annuaire-entreprises.data.gouv.fr/entreprise/‌319309613,Autre acteur territorial,OACT,‌319309613,Généraliste
Madininair,checked,Martinique,ATMO,Géoportail,Dédié,https://data-madininair.opendata.arcgis.com,https://data-madininair.opendata.arcgis.com,download.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/NkUjitmLdhP7GmHRTaSlEA/1nAEMED2Vs45Yx34dZfeMliTLo3rhPk2PzXn40TIMH_VJ1QZ_blP2RE9ADK_g2opHh7b-QaYcxoWjMjl5XFx_ftrz-uDiJoOzOdEY2u-fUpSbq6dWA2IyTQ7E6qoP41MfFtjyKVzUhmezG8ekRuFZA/iyz8sf7SJ9dRj9qtZ5inGDLJ0x_kdngyfjKRijU2Ojk),21,ArcGIS,esri,Régionale,https://annuaire-entreprises.data.gouv.fr/entreprise/423221795,Autre acteur territorial,OACT,423221795,Environnement
GéoMartinique,checked,Martinique,IDG,Géoportail,Partenarial,http://www.geomartinique.fr/geonetwork/,http://www.geomartinique.fr/geonetwork/,download.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/UJ8FzsioffNLfUj4YYz91A/uOXQZcSk4w0JqtAZmD9VekOcdud2eR9bbjksWCPPysKTWv8VBR0PG2hNdPv5nKmAbbsXsbpU1VPbvuvV5b24BrFZ54e1aymA7weu3mLFmiVo_R0P5nqqPdJG6l_-Et3NGo1GrDBpjIV-fPmesxg9Dg/5I_yxktl-mFI4EYTpJmE2tbuD4ksQS0WSmow4njyW1A),89,GeoNetwork,alkante,Régionale,https://annuaire-entreprises.data.gouv.fr/entreprise/200055507,Collectivité locale,REG,200055507,Généraliste
La Réunion,checked,La Réunion,,Portail,Dédié,https://data.regionreunion.com,https://data.regionreunion.com,odreunion.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/anPc_ZWaxXjelvT9BZt_Xw/EMCfpSd5t2wzPLnToLdY7is5itPEsDyTR_AtwYEsXyem5UFxwR9dMO3N69E1NKxpp1vkTPl_fj9Ly384p7qo74TS9t1u_IiPsKgBHKWSe7y8SAFA9aurXqrYUT0cOGOhY-YWTEfRE1n7ThEfPejFCA/0VeZ8deNISaer-qfeUZofwJrh4iggF7N3r5IIdLWGmE),220,OpenDataSoft,ods,Régionale,https://annuaire-entreprises.data.gouv.fr/entreprise/239740012,Collectivité locale,REG,239740012,Généraliste
Saint-Denis,checked,La Réunion,,Géoportail,Dédié,http://opendata-sig.saintdenis.re,http://opendata-sig.saintdenis.re,download.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/VHTkKR6hZD6Na77E_0C8JA/7hDxK8UYYq9smF3E5L29AOOOfKH-soi2RwY0xGCNYCBaJxXdl_TrtzdZeO9ZSwyRHVRUPlsvyAS9vhXanHS2sC2RrP8hVKiV9cnOpyRg2GoTp1NbsMdZCMqne4ci4YHd31DtDAEU4T6Kez_4E2jonA/zkaukcsnUWm26T0DhT4P263UmcSFnMvJlsvaGhzlUfM),48,ArcGIS,esri,Communale,https://annuaire-entreprises.data.gouv.fr/entreprise/219740115,Collectivité locale,COM,219740115,Généraliste
Atmo Réunion,checked,La Réunion,ATMO,Géoportail,Dédié,https://data-atmoreunion.opendata.arcgis.com,https://data-atmoreunion.opendata.arcgis.com,download.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/uIEZRLGV0XQRLDrOTTJv6Q/AGU3Azws2d8N_XfLGb-auw86SS1uzNQMxcB6MatTsh_sCGIy0ij2PGOj1GR6Aw-bdmmA6kLOMdcgsT1lLRAO5i8ctN_URaIGLqX-jviDYcRoUA9WUAWe-2LtubmWkZRdx9dAdNOL5TTSHRGyLRFnfw/DOmb9cAQJ2g-0R-DEn_hj0CW6-8waYEiDbPWGFzhDHs),11,ArcGIS,esri,Régionale,https://annuaire-entreprises.data.gouv.fr/entreprise/422969667,Autre acteur territorial,OACT,422969667,Environnement
PEIGEO,checked,La Réunion,IDG,Géoportail,Partenarial,http://peigeo.re/index.php/catalogue/,http://peigeo.re/index.php/catalogue/,download.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/7UgeCWPbpvENvvY-MjkgwQ/1QNrm3mlujOuFlprMekBh4MkN36ieSPIckw1x1KX8C8FWtEfZH3618TfDzObGfTRMHXdCHBghTMXnQjgbqNnucigAbVVsmjJyk_GQ6J0ljC3ysdfaVb1EJDyk-F5wWgnruJCgXsvWxz9X13zHrPAqg/mYZHgrwqO9Ty1ZdyFDvKhR4MshZV4_W4TfWB2mCAo_A),841,GeoNetwork,interne,Régionale,https://annuaire-entreprises.data.gouv.fr/entreprise/239740012,Collectivité locale,REG,239740012,Généraliste
Hawa Mayotte,checked,Mayotte,ATMO,Géoportail,Dédié,https://data-hawa-mayotte.opendata.arcgis.com,https://data-hawa-mayotte.opendata.arcgis.com,download.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/u3DYxbF8YuWj6-obwcpu_g/c4dmGZZHdnN3epQZ1iNmjo5F7YGtMmajnmS31-J9UMICQK0lX1XTEvK6m5TqE4OO61pCkqsveULni15E0yi3fOdsOq_5unsxAU1Uj6nzCym-6aKOWGg97Jk09WWGQXfxMOYE_vdgndTWZOzBJLJ5ZA/LomtPa9Bij2vrcmlgRDfZntAmHOEqOzNTL5AFTLMX34),4,ArcGIS,esri,Régionale,https://annuaire-entreprises.data.gouv.fr/entreprise/809413586,Autre acteur territorial,OACT,809413586,Environnement
Pirae,checked,Polynésie,,Site web,Dédié,http://www.pirae.pf/opendata/,http://www.pirae.pf/opendata/,download.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/S3u1r4UsW6O6p4WHms6juA/LYf0Hepi6zASLcrg13U7c51N1V5hyEYWRW_GjFt5vzVPmTxjIN_EGHDgWFqcMzRHPoCAt6gvVeu6O12ETfv5IDfVy_j2Ily0fIGJ8sdOIUB5sik72FC6VgiUKGhxBENjoIR-og0vUOiscBSL9QX1TQ/p1Mwz4YVbwVmU5ab9ApZzWeoAjXbwqAVglkozh-Id_E),4,Spécifique,,Communale,https://annuaire-entreprises.data.gouv.fr/entreprise/200013746,Collectivité locale,COM,200013746,Généraliste
Géorep,checked,Nouvelle-Calédonie,IDG,Géoportail,Partenarial,http://www.geoportal.gouv.nc/geoportal/catalog/main/home.page,http://www.geoportal.gouv.nc/geoportal/catalog/main/home.page,download.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/ECo_Hmv8TCSHTk1SzsEL3A/Sb7ULlqqhByWGBDASmATxoc0hNGOlDoIWs7AFY-tTj1dacwl9tmdqVxnWrMXlY11O7HXUpWxHQ7AixUGkLRibpa0Is78_wJYDYsroJS-Xi21iXN6PwgnbcK1RT6M0mGd6vZ52nDNpq71NznKjoBtIw/whk8RkLj3CCjAGsL2GYAmqNmdBrV72p6cuoc0ChifRQ),838,Geoportal Server,esri,Régionale,https://annuaire-entreprises.data.gouv.fr/entreprise/229880018,Collectivité locale,REG,229880018,Généraliste
