dbid,name,link,langs,catalog_type,access_mode,content_types,countries,owner_type,software,export_standard,add_date,update_date,catalog_export,description,owner_name,owner_link,search_index,storage_volume,dataset_count,api,api_link
opendatabarrieca,City of Barrie Open GIS data portal,opendata.barrie.ca,EN,Geoportal,Open,Dataset,Canada,Government,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",20.3.2023,20.3.2023 11:23,https://public-barrie.opendata.arcgis.com/api/feed/dcat-ap/2.0.1.json,,,,,,,,
opendatabayernde,,opendata.bayern.de,EN,Open data portal,Open,Dataset,Germany,,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.bayern.de/data/api/3
opendatabcbgovbr,opendata.bcb.gov.br,opendata.bcb.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,20.3.2023,20.3.2023 11:23,,,,,,,,checked,https://opendata.bcb.gov.br/api/3
opendatabcca,OpenDataBC,opendatabc.ca,EN,Open data portal,Open,Dataset,Canada,Government,CKAN,CKAN API,,,,,,,,,,checked,http://opendatabc.ca/api/3
opendatabr7orgil,העיר באר שבע,opendata.br7.org.il,HE,Open data portal,Open,Dataset,Israel,Civil society,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.br7.org.il/api/3
opendatacabqgov,City of Albuquerque Open Data,opendata.cabq.gov,EN,Open data portal,Open,Dataset,United States,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.cabq.gov/api/3
opendatacacereses,OpenData Cáceres,opendata.caceres.es,EN,Open data portal,Open,Dataset,Spain,,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.caceres.es/api/3
opendatacamdengovuk,,opendata.camden.gov.uk,EN,Open data portal,Open,Dataset,United Kingdom,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.camden.gov.uk/browse?tags=planning&utf8=T&sortBy=relevance/data/api/3
opendatacityadmlvivua,Портал відкритих даних Львова,opendata.city-adm.lviv.ua,UK,Open data portal,Open,Dataset,Ukraine,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.city-adm.lviv.ua/api/3
opendatacitymokalgjp,真岡市オープンデータカタログサイト,opendata.city.moka.lg.jp,JA,Open data portal,Open,Dataset,Japan,Government,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.city.moka.lg.jp/api/3
opendatacompk,Open Data Pakistan,opendata.com.pk,EN,Open data portal,Open,Dataset,Pakistan,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.com.pk/api/3
opendatacomunebariit,Opendata Bari.it,opendata.comune.bari.it,IT,Open data portal,Open,Dataset,Italy,Government,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.comune.bari.it/api/3
opendatacomunereit,Opendata Comune di Reggio Emilia,opendata.comune.re.it,IT,Open data portal,Open,Dataset,Italy,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.comune.re.it/api/3
opendataelandgovtw,宜蘭縣政府資料開放平臺,opendata.e-land.gov.tw,zh_TW,Open data portal,Open,Dataset,Taiwan,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.e-land.gov.tw/api/3
opendataeolorg,OpenData.eol.org,opendata.eol.org,EN,Open data portal,Open,Dataset,,,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.eol.org/api/3
opendataesrichinahk,Open Geospatial Data in HK,opendata.esrichina.hk,EN,Geoportal,Open,Dataset,China,Government,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",20.3.2023,20.3.2023 11:23,https://data-esrihk.opendata.arcgis.com/api/feed/dcat-ap/2.0.1.json,,,,,,,,
opendataesries,Portal de Datos Abiertos de Esri Espana,opendata.esri.es,ES,Open data portal,Open,Dataset,Spain,Business,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",26.3.2023,26.3.2023 00:00,,,,,,,,,
opendataeuroinfosiciliait,OpenData EuroInfoSicilia,opendata.euroinfosicilia.it,IT,Open data portal,Open,Dataset,Italy,,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.euroinfosicilia.it/api/3
opendatafortsmithargov,City of Fort Smith Open Data Portal,opendata.fortsmithar.gov,EN,Open data portal,Open,Dataset,United States,Government,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.fortsmithar.gov/api/3
opendatagoval,Open Data Alabania,opendata.gov.al,SQ,Open data portal,Open,Dataset,Albania,Government,Custom software,,20.3.2023,20.3.2023 11:23,,,,,,,,,
opendatagovcz,,opendata.gov.cz,EN,Open data portal,Open,Dataset,Czech Republic,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.gov.cz/ckan/api/3
opendatagovje,Government of Jersey Open Data,opendata.gov.je,EN,Open data portal,Open,Dataset,United Kingdom,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.gov.je/api/3
opendatagovmn,OpenData.mn,opendata.gov.mn,MN,Open data portal,Open,Dataset,Mongolia,Government,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.gov.mn/api/3
opendatagovvn,open.data.gov.vn,open.data.gov.vn,VN,Open data portal,Open,Dataset,Vietnam,Government,CKAN,CKAN API,20.3.2023,20.3.2023 11:23,,,,,,,,checked,
opendatahautsdefrancefr,OPEN DATA Hauts-de-France,opendata.hautsdefrance.fr,FR,Open data portal,Open,Dataset,France,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.hautsdefrance.fr/api/3
opendatakpgovpk,KP OpenData Portal,opendata.kp.gov.pk,EN,Open data portal,Open,Dataset,Pakistan,Government,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.kp.gov.pk/api/3
opendatalecceappostabiz,OpenData Lecce,opendatalecce.apposta.biz,IT,Open data portal,Open,Dataset,Italy,,CKAN,CKAN API,,,,,,,,,,checked,http://opendatalecce.apposta.biz/api/3
opendataleipzigde,Open Data-Portal der Stadt Leipzig,opendata.leipzig.de,DE,Open data portal,Open,Dataset,Germany,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.leipzig.de/api/3
opendatalisrajp,opendata Lisra,opendata.lisra.jp,JA,Open data portal,Open,Dataset,Japan,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.lisra.jp/api/3
opendatamanresacat,Portal de dades obertes,opendata.manresa.cat,EN,Open data portal,Open,Dataset,Spain,,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.manresa.cat/api/3
opendatamateraeventsit,OpenData Matera2019,opendata.materaevents.it,IT,Open data portal,Open,Dataset,Italy,,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.materaevents.it/api/3
opendatameerbuschde,Meerbusch,opendata.meerbusch.de,DE,Open data portal,Open,Dataset,Germany,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.meerbusch.de/api/3
opendatammdecincz,opendata města Děčín,opendata.mmdecin.cz,CZ,Open data portal,Open,Dataset,Czech Republic,Government,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.mmdecin.cz/api/3
opendatamuenchende,Open Data München,opendata.muenchen.de,DE,Open data portal,Open,Dataset,Germany,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.muenchen.de/api/3
opendatamzcrcz,Katalog otevřených dat,opendata.mzcr.cz,CZ,Open data portal,Open,Dataset,Czech Republic,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.mzcr.cz/api/3
opendatamzpcz,Otevřená data resortu životního prostředí,opendata.mzp.cz,CZ,Open data portal,Open,Dataset,Czech Republic,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.mzp.cz/api/3
opendatanepalcom,opendatanepal.com,opendatanepal.com,EN,Open data portal,Open,Dataset,Nepal,Civil society,CKAN,CKAN API,20.3.2023,20.3.2023 11:23,,,,,,,,checked,
