dbid,name,link,langs,catalog_type,access_mode,content_types,countries,owner_type,software,export_standard,add_date,update_date,catalog_export,description,owner_name,owner_link,search_index,storage_volume,dataset_count,api,api_link
digital-earth-au,Digital Earth Australia,https://explorer.sandbox.dea.ga.gov.au/stac/,EN,Geoportal,Public,Dataset,Australia,Government,Stac-server,STAC specification,,,,Digital Earth Australia (DEA) is a platform that uses spatial data and images recorded by satellites orbiting our planet to detect physical changes across Australia in unprecedented detail.,,,,,,checked,https://explorer.sandbox.dea.ga.gov.au/stac/
digitale-orthophotos-niedersachsen,Digitale Orthophotos Niedersachsen,https://dop-stac.opengeodata.lgln.niedersachsen.de/catalog.json,EN,Geoportal,Public,Dataset,Germany,,Stac-server,STAC specification,,,,"Digital orthophotos from Lower Saxony in Germany, provided by LGLN.",,,,,,checked,https://dop-stac.opengeodata.lgln.niedersachsen.de/catalog.json
disasters-charter-mapper-catalog,Disasters Charter Mapper Catalog,https://supervisor.disasterscharter.org/api/catalog.json,EN,Geoportal,Protected,Dataset,,,Stac-server,STAC specification,,,,Satellite data to support disaster response worldwide.,,,,,,checked,https://supervisor.disasterscharter.org/api/catalog.json
earth-search,Earth Search,https://earth-search.aws.element84.com/v1/,EN,Geoportal,Public,Dataset,,,Stac-server,STAC specification,,,,A STAC API of [AWS Public Datasets](https://registry.opendata.aws/).,,,,,,checked,https://earth-search.aws.element84.com/v1/
bdc-cbers,EO Data Cubes for Brazil - CBERS 4,https://bdc-cbers.s3.us-west-2.amazonaws.com/catalog.json,EN,Geoportal,Public,Dataset,,,Stac-server,STAC specification,,,,Catalogs of Brazil Data Cube (BDC) CBERS 4 Earth Observation data cube imagery on AWS.,,,,,,checked,https://bdc-cbers.s3.us-west-2.amazonaws.com/catalog.json
bdc-sentinel-2,EO Data Cubes for Brazil - Sentinel 2,https://bdc-sentinel-2.s3.us-west-2.amazonaws.com/catalog.json,EN,Geoportal,Public,Dataset,,,Stac-server,STAC specification,,,,Catalogs of Brazil Data Cube (BDC) Sentinel-2 (A+B) Earth Observation data cube imagery on AWS.,,,,,,checked,https://bdc-sentinel-2.s3.us-west-2.amazonaws.com/catalog.json
eodc-openeo,EODC API (openEO),https://openeo.eodc.eu/v1.0/,EN,Geoportal,Protected,Dataset,European Union,,Stac-server,STAC specification,,,,"The EODC API provides access to the EODC services and data (Sentinel-1, Sentinel-2 and Sentinel-3), as well as access to the openEO endpoints.",,,,,,checked,https://openeo.eodc.eu/v1.0/
ers-open-data,ERS open data,https://s3ext.gptl.ru/stac-web-free/catalog.json,EN,Geoportal,Public,Dataset,Russian Federation,Government,Stac-server,STAC specification,,,,"Some open data sets from the Russian Federal Space Agency, e.g. from the Meteor-M and Electro-L satellites.",,,,,,checked,https://s3ext.gptl.ru/stac-web-free/catalog.json
esri-lulc-2020,esri-lulc-2020,https://esri-lulc-2020-stac.s3.amazonaws.com/catalog.json,EN,Geoportal,Public,Dataset,,,Stac-server,STAC specification,,,,A ten class global land use/land cover (LULC) map for the year 2020 at 10 meter resolution.  Created by Impact Observatory in partnership with Microsoft and ESRI.,,,,,,checked,https://esri-lulc-2020-stac.s3.amazonaws.com/catalog.json
eurac-research-openeo,Eurac Research (openEO),https://openeo.eurac.edu/,EN,Geoportal,Protected,Dataset,European Union,,Stac-server,STAC specification,,,,The Eurac Research backend provides EO data available for processing using OGC WC(P)S and the open data cube,,,,,,checked,https://openeo.eurac.edu/
fairicube-hub-catalog,FAIRiCUBE Hub Catalog,https://catalog.fairicube.eu/stac/index.json,EN,Geoportal,Public,Dataset,European Union,,Stac-server,STAC specification,,,,A STAC catalog that contains all collections available on the FAIRiCUBE Hub and within the Sentinel Hub openEO backend.,,,,,,checked,https://catalog.fairicube.eu/stac/index.json
fedeo-clearinghouse,FedEO Clearinghouse,https://eovoc.spacebel.be/,EN,Geoportal,Public,Dataset,Belgium,,Stac-server,STAC specification,,,,"FedEO Clearinghouse provides interoperable access, following ISO/OGC interface guidelines, to Earth Observation metadata",,,,,,checked,https://eovoc.spacebel.be/
fmi-ard-finland,FMI ARD Finland,https://pta.data.lit.fmi.fi/stac/root.json,EN,Geoportal,Public,Dataset,Finland,Government,Stac-server,STAC specification,,,,"Analysis Ready Data from the Finnish Meteorological Institute in the Finnish reference grid epsg:3067. Sentinel-1 and -2 as dekad mosaics as main items, but many other related data sets over Finland are included as well. For example the forestry inventory data as COGs are available as well.",,,,,,checked,https://pta.data.lit.fmi.fi/stac/root.json
google-earth-engine,Google Earth Engine,https://earthengine-stac.storage.googleapis.com/catalog/catalog.json,EN,Geoportal,Public,Dataset,United States,Business,Stac-server,STAC specification,,,,List of all rasters and vectors present in the [Google Earth Engine Catalog](https://developers.google.com/earth-engine/datasets/).,,,,,,checked,https://earthengine-stac.storage.googleapis.com/catalog/catalog.json
google-earth-engine-openeo,Google Earth Engine (openEO),https://earthengine.openeo.org/v1.0/,EN,Geoportal,Public,Dataset,European Union,Government,Stac-server,STAC specification,,,,"This is the Google Earth Engine Driver for openEO. Google Earth Engine is a planetary-scale platform for Earth science data & analysis. It is powered by Google's cloud infrastructure and combines a multi-petabyte catalog of satellite imagery and geospatial datasets with planetary-scale analysis capabilities. Google makes it available for scientists, researchers, and developers to detect changes, map trends, and quantify differences on the Earth's surface.",,,,,,checked,https://earthengine.openeo.org/v1.0/
ide-facultad-de-ciencia-y-tecnologia-uader,IDE Facultad de Ciencia y Tecnología UADER,https://raw.githubusercontent.com/IDE-FCyT/IDE-FCyT/main/catalog/stac_catalog.json,EN,Geoportal,Public,Dataset,Uruguay,Academy,Stac-server,STAC specification,,,,Lista de raster y vectores presentes en la IDE de la Facultad de Ciencia y Tecnología - UADER ,,,,,,checked,https://raw.githubusercontent.com/IDE-FCyT/IDE-FCyT/main/catalog/stac_catalog.json
maxar-ard-sample-data,Maxar ARD Sample Data,https://ard.maxar.com/samples/catalog.json,EN,Geoportal,Public,Dataset,United States,Business,Stac-server,STAC specification,,,,"Root Catalog for Maxar ARD sample data.

All contents Ⓒ Maxar and for evaluation only.",,,,,,checked,https://ard.maxar.com/samples/catalog.json
maxar-open-data-catalog-ard-format,Maxar Open Data Catalog (ARD format),https://maxar-opendata.s3.amazonaws.com/events/catalog.json,EN,Geoportal,Public,Dataset,United States,Business,Stac-server,STAC specification,,,,Root catalog for the [Maxar Open Data Program](https://www.maxar.com/open-data) imagery generated through the Maxar ARD pipeline. ,,,,,,checked,https://maxar-opendata.s3.amazonaws.com/events/catalog.json
microsoft-pc,Microsoft Planetary Computer STAC API,https://planetarycomputer.microsoft.com/api/stac/v1/,EN,Geoportal,Public,Dataset,United States,Business,Stac-server,STAC specification,,,,Searchable spatiotemporal metadata describing Earth science datasets hosted by the Microsoft Planetary Computer,,,,,,checked,https://planetarycomputer.microsoft.com/api/stac/v1/
catalonia-monthly-sentinel2,Monthly Mosaic of Sentinel 2 Images for Catalonia,https://datacloud.icgc.cat/stac-catalog/catalog.json,EN,Geoportal,Public,Dataset,Spain,,Stac-server,STAC specification,,,,"Monthly mosaics of sentinel-2 images over Catalonia, choosing lowest cloud coverage for each timespan. Indexes several collections of different Cloud Optimized Geotiffs: RGB de 8/16 bits, IRC  8/16 bits.",,,,,,checked,https://datacloud.icgc.cat/stac-catalog/catalog.json
msc-geomet,MSC GeoMet - GeoMet-OGC-API,https://api.weather.gc.ca/stac/?f=json,EN,Geoportal,Public,Dataset,Canada,Government,Stac-server,STAC specification,,,,GeoMet-OGC-API provides public access to the Meteorological Service of Canada (MSC) and Environment and Climate Change Canada (ECCC) data via interoperable web services and application programming interfaces (API).,,,,,,checked,https://api.weather.gc.ca/stac/?f=json
mundialis-actinia-openeo,mundialis Actinia (openEO),https://openeo.mundialis.de/api/v1.0/,EN,Geoportal,Protected,Dataset,Germany,,Stac-server,STAC specification,,,,Access to the mundialis Actinia service via an openEO interface.,,,,,,checked,https://openeo.mundialis.de/api/v1.0/
nasa-cmr-cloudstac-proxy,NASA CMR CLOUDSTAC Proxy,https://cmr.earthdata.nasa.gov/cloudstac/,EN,Geoportal,Public,Dataset,United States,Government,Stac-server,STAC specification,,,,"SpatioTemporal Asset Catalog API on top of [NASA's Common Metadata Repository](https://cmr.earthdata.nasa.gov/search/). The Common Metadata Repository (CMR) is a high-performance, high-quality, continuously evolving metadata system that catalogs Earth Science data and associated service metadata records.

This API only contains STAC Collections where the Item Assets are available ""in the cloud"" (i.e., on s3).",,,,,,checked,https://cmr.earthdata.nasa.gov/cloudstac/
cmr-stac,NASA CMR STAC,https://cmr.earthdata.nasa.gov/stac/,EN,Geoportal,Public,Dataset,United States,Government,Stac-server,STAC specification,,,,"SpatioTemporal Asset Catalog API on top of NASA's [Common Metadata Repository](https://cmr.earthdata.nasa.gov/search/). The Common Metadata Repository (CMR) is a high-performance, high-quality, continuously evolving metadata system that catalogs Earth Science data and associated service metadata records.",,,,,,checked,https://cmr.earthdata.nasa.gov/stac/
nasa-iserv,NASA ISERV,https://nasa-iserv.s3-us-west-2.amazonaws.com/catalog/catalog.json,EN,Geoportal,Public,Dataset,United States,Government,Stac-server,STAC specification,,,,ISS SERVIR Environmental Research and Visualization System (ISERV) Level-0 Product. These products were created at the ISERV Science Operation Center (SOC) at the National Space Science and Technology Center. ISERV is an automated system designed to acquire images of the Earth's surface from the International Space Station (ISS).,,,,,,checked,https://nasa-iserv.s3-us-west-2.amazonaws.com/catalog/catalog.json
openaerialmap-example,OpenAerialMap Example,https://raw.githubusercontent.com/m-mohr/oam-example/main/catalog.json,EN,Geoportal,Public,Dataset,,Civil society,Stac-server,STAC specification,,,,"Example STAC Item for an entry on OpenAerialMap, created during the STAC Intro and Q&A.",,,,,,checked,https://raw.githubusercontent.com/m-mohr/oam-example/main/catalog.json
openeo-platform,openEO Platform,https://openeocloud.vito.be/openeo/1.0.0/,EN,Geoportal,Protected,Dataset,Belgium,Business,Stac-server,STAC specification,,,,"openEO platform provides intuitive programming libraries to process a wide variety of earth observation datasets. This large-scale data access and processing is performed on multiple infrastructures, which all support the openEO and STAC API.",,,,,,checked,https://openeocloud.vito.be/openeo/1.0.0/
osc,Open Science Catalog,https://EOEPCA.github.io/open-science-catalog-metadata/catalog.json,EN,Geoportal,Public,Dataset,European Union,Government,Stac-server,STAC specification,,,,Open Science Catalog (OSC) Catalog by the European Space Agency (ESA),,,,,,checked,https://EOEPCA.github.io/open-science-catalog-metadata/catalog.json
opentopography,OpenTopography Data Catalog,https://portal.opentopography.org/stac/catalog.json,EN,Geoportal,Public,Dataset,,,Stac-server,STAC specification,,,,A catalog of topography datasets hosted by OpenTopography,,,,,,checked,https://portal.opentopography.org/stac/catalog.json
pangeo,Pangeo Cloud Data Catalog,https://raw.githubusercontent.com/charlesbluca/pangeo-datastore-stac/master/master/catalog.json,EN,Geoportal,Public,Dataset,,,Stac-server,STAC specification,,,,"Experimental STAC catalog of ocean, weather, and climate data stored in Zarr format in Google Cloud Storage.",,,,,,checked,https://raw.githubusercontent.com/charlesbluca/pangeo-datastore-stac/master/master/catalog.json
planet-labs-stac-catalog,Planet Labs STAC Catalog,https://www.planet.com/data/stac/catalog.json,EN,Geoportal,Public,Dataset,United States,Business,Stac-server,STAC specification,,,,"This catalog serves as the main root STAC Catalog for Planet Labs. It links to 3 small static catalogs of open data, including a small set of Planet Disaster Data, some CC-BY SkySat collects and the complete Spacenet 7 images and labels.",,,,,,checked,https://www.planet.com/data/stac/catalog.json
polar-geospatial-center,Polar Geospatial Center Data Catalog,https://pgc-opendata-dems.s3.us-west-2.amazonaws.com/pgc-data-stac.json,EN,Geoportal,Public,Dataset,,,Stac-server,STAC specification,,,,"Includes data from multiple projects, each with 2m GSD and usually available in mosaics and strips: ArcticDEM (DEMs over the Arctic, starting 2007), EarthDEM (DEMs over non-polar regions, staring 2008) and REMA (Reference Elevation Model of Antarctica, starting 2009).",,,,,,checked,https://pgc-opendata-dems.s3.us-west-2.amazonaws.com/pgc-data-stac.json
radiant-mlhub,Radiant MLHub,https://api.radiant.earth/mlhub/v1/,EN,Geoportal,Protected,Dataset,,,Stac-server,STAC specification,,,,Open library for geospatial training data to advance machine learning applications on Earth Observations.,,,,,,checked,https://api.radiant.earth/mlhub/v1/
s2-for-ghana,S2 for Ghana,https://gws-access.jasmin.ac.uk/public/odanceo/S2_L2/collection.json,EN,Geoportal,Public,Dataset,United Kingdom,Academy,Stac-server,STAC specification,,,,Sentinel 2 Surface Reflectance over Ghana using SIAC AC.,,,,,,checked,https://gws-access.jasmin.ac.uk/public/odanceo/S2_L2/collection.json
satellite-vu-public-static-stac,Satellite Vu public static STAC,https://stac.satellitevu.com,EN,Geoportal,Public,Dataset,United Kingdom,Business,Stac-server,STAC specification,,,,Sample imagery from flight campaigns ran by Satellite Vu in March and April 2021. Consists of 5 images resampled to the highest resolution achievable by Satellite Vu's sensor from orbit.,,,,,,checked,https://stac.satellitevu.com
sentinel-1-rtc-conus,Sentinel-1 RTC CONUS,https://raw.githubusercontent.com/scottyhq/sentinel1-rtc-stac/main/collection.json,EN,Geoportal,Public,Dataset,,,Stac-server,STAC specification,,,,"Sentinel1 radiometric terrain corrected backscatter (RTC) over CONUS since 2017. These radar data have been processed from original GRD scenes into a Radiometrically Terrain Corrected, tiled product suitable for analysis.",,,,,,checked,https://raw.githubusercontent.com/scottyhq/sentinel1-rtc-stac/main/collection.json
sentinel-2-and-landsat-8-catalog,Sentinel-2 and Landsat-8 catalog,https://tamn.snapplanet.io,EN,Geoportal,Public,Dataset,,,Stac-server,STAC specification,,,,Up to date Sentinel-2 and Landsat-8 catalog used for demo with rocket client.,,,,,,checked,https://tamn.snapplanet.io
sentinel-3-aws,Sentinel 3 Level 2+3 on AWS,https://meeo-s3.s3.amazonaws.com/catalog.json,EN,Geoportal,Public,Dataset,,,Stac-server,STAC specification,,,,"Observations from the Sentinel-3 satellite of the European Commission’s Copernicus Earth Observation Programme, available in Level 2 and 3. Hosted on AWS.",,,,,,checked,https://meeo-s3.s3.amazonaws.com/catalog.json
sentinel-5p-level2-aws,Sentinel 5P Level 2 on AWS,https://meeo-s5p.s3.amazonaws.com/catalog.json,EN,Geoportal,Public,Dataset,,,Stac-server,STAC specification,,,,Observations from the Sentinel-5 Precursor (Sentinel-5P) satellite of the European Commission’s Copernicus Earth Observation Programme. Hosted on AWS.,,,,,,checked,https://meeo-s5p.s3.amazonaws.com/catalog.json
sentinel-hub,Sentinel Hub,https://services.sentinel-hub.com/api/v1/catalog/1.0.0/,EN,Geoportal,Protected,Dataset,,,Stac-server,STAC specification,,,,"Sentinel Hub Catalog is an API implementing the STAC Specification, describing geospatial information about different data used with Sentinel Hub.",,,,,,checked,https://services.sentinel-hub.com/api/v1/catalog/1.0.0/
spot-orthoimages-canada-2005,SPOT Orthoimages of Canada (2005-2010),https://spot-canada-ortho.s3.amazonaws.com/catalog.json,EN,Geoportal,Public,Dataset,,,Stac-server,STAC specification,,,,Canada's Orthoimages 2005-2010 is the national medium-resolution imagery coverage of Canada. These digital raster data acquired by the Spot4 and Spot5 satellites comprise five spectral bands.,,,,,,checked,https://spot-canada-ortho.s3.amazonaws.com/catalog.json
terrascope,Terrascope,https://services.terrascope.be/stac/,EN,Geoportal,Protected,Dataset,Belgium,Business,Stac-server,STAC specification,,,,"VITO Remote Sensing EO Data Catalogue for the Terrascope platform. Offers Sentinel-1/2/5P, PROBA-V, WorldCover, DEMs, CLS and more.",,,,,,checked,https://services.terrascope.be/stac/
uk-nceo-analysis-ready-data-ard,UK NCEO Analysis Ready Data (ARD),https://gws-access.jasmin.ac.uk/public/nceo_ard/NCEO_ARD_STAC/catalog.json,EN,Geoportal,Public,Dataset,United Kingdom,Academy,Stac-server,STAC specification,,,,"This STAC catalog contains Sentinel 2 (S2) surface reflectance over the UK from 2017 to 2019. The surface reflectance have been processed by SIAC atmospheric correction method, with per pixel uncertainty information.",,,,,,checked,https://gws-access.jasmin.ac.uk/public/nceo_ard/NCEO_ARD_STAC/catalog.json
usgs-3dep-lidar,USGS 3DEP LiDAR Point Clouds,https://usgs-lidar-stac.s3-us-west-2.amazonaws.com/ept/catalog.json,EN,Geoportal,Public,Dataset,United States,Government,Stac-server,STAC specification,,,,"LiDAR 3DEP elevation data over the conterminous United States, Hawaii, and the U.S. territories, acquired over an 8-year period. Hosted on AWS.",,,,,,checked,https://usgs-lidar-stac.s3-us-west-2.amazonaws.com/ept/catalog.json
usgs-astrogeology-ard,USGS Astrogeology Provided Analysis Ready Data,https://asc-stacbrowser.s3.us-west-2.amazonaws.com/catalog.json,EN,Geoportal,Public,Dataset,United States,Government,Stac-server,STAC specification,,,,"Analysis Ready Data (ARD) hosted by USGS Astrogeology. This catalog is organized by planetary body (e.g., Mars or Jupiter). Within each sub-catalog, users will find ARD orgamized by moon and/or data type (e.g., Europa, or kaguyaTC DTMs) depending upon how much logical nesting is required.",,,,,,checked,https://asc-stacbrowser.s3.us-west-2.amazonaws.com/catalog.json
usgs-landsat-collection-2-api,USGS Landsat Collection 2 API,https://landsatlook.usgs.gov/stac-server/,EN,Geoportal,Public,Dataset,United States,Government,Stac-server,STAC specification,,,,USGS authoritative source for Landsat Collection 2 data,,,,,,checked,https://landsatlook.usgs.gov/stac-server/
uvt-stac-catalog,UVT STAC Catalog,https://stac.sage.uvt.ro,EN,Geoportal,Public,Dataset,Romania,Academy,Stac-server,STAC specification,,,,Spatio-Temporal Asset Catalog containing various geospatial products distributed by West University of Timisoara,,,,,,checked,https://stac.sage.uvt.ro
vito-openeo,VITO (openEO),https://openeo.vito.be/openeo/1.0/,EN,Geoportal,Protected,Dataset,,,Stac-server,STAC specification,,,,openEO API to the VITO Remote Sensing product catalog and processing services.,,,,,,checked,https://openeo.vito.be/openeo/1.0/
weatherlayers,WeatherLayers,https://catalog.weatherlayers.com/catalog/,EN,Geoportal,Protected,Dataset,,,Stac-server,STAC specification,,,,"WeatherLayers is Weather Visualization as a Service, providing pre-processed weather data for visualization and a frontend weather visualization library, which can be used with both cloud and custom self-hosted data. See [WeatherLayers](https://weatherlayers.com/) for more details.",,,,,,checked,https://catalog.weatherlayers.com/catalog/
world-bank-light-every-night,World Bank - Light Every Night,https://globalnightlight.s3.amazonaws.com/VIIRS_npp_catalog.json,EN,Geoportal,Public,Dataset,,,Stac-server,STAC specification,,,,Nightly visible radiance catalogues from VIIRS DNB NPP for 2012/04 through 2020/12.,,,,,,checked,https://globalnightlight.s3.amazonaws.com/VIIRS_npp_catalog.json
z-api-test,z API Test,https://gis.ktn.gv.at/osgdi/stac/,EN,Geoportal,Private,Dataset,Austria,Government,Stac-server,STAC specification,,,,"
## STAC Catalog
 Includes elevation data and orthophotos",,,,,,checked,https://gis.ktn.gv.at/osgdi/stac/
geogobbo,Catalogo Geobolivia,https://geo.gob.bo/geonetwork,ES,Geoportal,Open,Dataset,Bolivia,Government,Geonetwork,Geonetwork API,,,,,,,,,,checked,
dataairplorg,Open Data Air Pays de la Loire,https://data.airpl.org/geonetwork,FR,Geoportal,Open,Dataset,France,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
dataairbreizhassofr,GeoCatalogue AIR BREIZH,https://data.airbreizh.asso.fr/geonetwork,FR,Geoportal,Open,Dataset,France,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
cataloguesigloirefr,SIGLOIRE,https://catalogue.sigloire.fr/geonetwork,FR,Geoportal,Open,Dataset,France,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
cataloguegeomartiniquefr,Centre de Ressource Géomatique et Infrastructure de Données Géographiques - GéoMartinique,https://catalogue.geomartinique.fr/geonetwork,FR,Geoportal,Open,Dataset,France,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
cataloguedataragouvfr,DatAra,https://catalogue.datara.gouv.fr/geonetwork,FR,Geoportal,Open,Dataset,France,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
geobretagnefr,GeoBretagne,https://geobretagne.fr/geonetwork,FR,Geoportal,Open,Dataset,France,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
cataloguegeopalorg,GeoPal,https://catalogue.geopal.org/geonetwork,FR,Geoportal,Open,Dataset,France,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
cataloguepictooccitaniefr,Picto-Occitanie Geocatalogue,https://catalogue.picto-occitanie.fr/geonetwork,FR,Geoportal,Open,Dataset,France,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
publicsigrennesmetropolefr,Catalogue public Rennes Metropole,https://public.sig.rennesmetropole.fr/geonetwork,FR,Geoportal,Open,Dataset,France,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
cataloguekarugeofr,KaruGeo,https://catalogue.karugeo.fr/geonetwork,FR,Geoportal,Open,Dataset,France,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
cigalsaceorg,Catalogue GeoGrandEst,https://www.cigalsace.org/geonetwork,FR,Geoportal,Open,Dataset,France,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
geoabdsis,Arctic Biodiversity Data service,https://geo.abds.is/geonetwork,"IS,EN",Geoportal,Open,Dataset,Iceland,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
cataloguegeoguyanefr,GeoGuyane,https://catalogue.geoguyane.fr/geonetwork,FR,Geoportal,Open,Dataset,France,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
datalinzgovtnz,Linz Data Service Land Information New Zealand,data.linz.govt.nz,EN,Geoportal,Open,Dataset,New Zealand,Government,Koordinates,,,,,,,,,,,,
datanrcgisopendataarcgiscom,Northland Regional Council's Open Data,data-nrcgis.opendata.arcgis.com,EN,Geoportal,Open,Dataset,New Zealand,Government,ArcGIS Hub,,,,https://data-nrcgis.opendata.arcgis.com/api/feed/dcat-ap/2.0.1.json,,,,,,,,
exploredataparliamentuk,Parliament Dataset Explorer,explore.data.parliament.uk,EN,Open data portal,Open,Dataset,United Kingdom,Government,Custom software,,,,,,,,,,,,
datactgovau,ACT Government Open Data Portal,www.data.act.gov.au,EN,Open data portal,Open,Dataset,Australia,Government,Socrata,,,,,,,,,,,,
opendatacorfu,Open Data Corfu,opendatacorfu.gr,EL,Open data portal,Open,Dataset,Greece,Government,CKAN,CKAN API,,,,,,,,,,,http://opendatacorfu.gr/api/3
portaleicmn,EIC geonetwork,http://portal.eic.mn:8080/geonetwork,MN,Geoportal,Open,Dataset,Mongolia,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
geonetmrismn,National Geological Survey (Mongolia),https://geonet.mris.mn/geonetwork,MN,Geoportal,Open,Dataset,Mongolia,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
webgisiggacmn,Mongolian Institute of geography and geoecology,http://webgis.igg.ac.mn:8080/geonetwork,MN,Geoportal,Open,Dataset,Mongolia,Academy,Geonetwork,Geonetwork API,,,,,,,,,,,
geodatacn,National Earth System Science Data Center,www.geodata.cn,zh_CN,Geoportal,Open,Dataset,China,Government,Custom software,,,,,,,,,,,,
catalogfmifi,Finnish Meteorological Institute Geocatalog,http://catalog.fmi.fi/geonetwork,FI,Geoportal,Public,Dataset,Finland,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
paikkatietohakemistofi,Paikkatietohakemisto,https://www.paikkatietohakemisto.fi/geonetwork,FI,Geoportal,Public,Dataset,Finland,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
geostatfi,Statistics Finland Geoserver,http://geo.stat.fi/geoserver/web/,FI,Geoportal,Public,Dataset,Finland,Government,GeoServer,,,,,,,,,,,,
radaronraiainesctecpt,Radar on Raia,https://radaronraia.inesctec.pt/geonetwork,PT,Geoportal,Open,Dataset,Portugal,Academy,Geonetwork,Geonetwork API,,,,,,,,,,,
idecimttmpt,Catalogo Metadados CIM-TTM - Comunidade Intermunicipal das Terras de Trás-os-Montes,https://ide.cim-ttm.pt/geonetwork,PT,Geoportal,Open,Dataset,Portugal,Academy,Geonetwork,Geonetwork API,,,,,,,,,,,
sigcmvaledecambrapt,Metadados de Vale de Cambra - Câmara Municipal de Vale de Cambra,https://sig.cm-valedecambra.pt/geonetwork,PT,Geoportal,Open,Dataset,Portugal,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
opendatacitytambovgovru,Data portal of the Tambov city administration,http://opendata.city.tambov.gov.ru/,RU,Open data portal,Open,Dataset,Russian Federation,Government,CKAN,CKAN API,,,,,,,,,,,http://opendata.city.tambov.gov.ru/api/3
permafrostsu,Портал данных о вечной мерзлоте и климате (permafrost.su),http://permafrost.su/,RU,Open data portal,Open,Dataset,Russian Federation,Academy,DKAN,,,,,,,,,,,,
opendatayarcloudru,Портал открытых данных Ярославской области,https://opendata.yarcloud.ru/,RU,Open data portal,Open,Dataset,Russian Federation,Government,DKAN,,,,,,,,,,,,
geoportalkscnetru,Геопортал ИВиС ДВО РАН,http://geoportal.kscnet.ru/,RU,Geoportal,Open,Dataset,Russian Federation,Academy,Geonetwork,Geonetwork API,,,,,,,,,,,
gistigdvoru,Геопортал ТИГ ДВО РАН,http://gis.tigdvo.ru/,RU,Geoportal,Open,Dataset,Russian Federation,Academy,Geonetwork,Geonetwork API,,,,,,,,,,,
nsdikg,Каталог метаданных на портале геоинформационных и климатических данных КР,http://nsdi.kg:8070/geonetwork/,RU,Geoportal,Open,Dataset,Kyrgyzstan,Government,Geonetwork,Geonetwork API,,,,,,,,,,,
geologyscienceru,Информационно-аналитическая среда для поддержки научных исследований в геологии,http://geologyscience.ru/,RU,Geoportal,Open,Dataset,Russian Federation,Academy,Geonetwork,Geonetwork API,,,,,,,,,,,
gissatellitedvoru, ГИС-портал Спутникового Центра ДВО РАН ,http://gis.satellite.dvo.ru,RU,Geoportal,Open,Dataset,Russian Federation,Academy,Geonetwork,Geonetwork API,,,,,,,,,,,
mnpeconomygovru,Сервер геоданных портала Новые инвестиционные проекты Минэкономразвития России,https://mnp.economy.gov.ru/geoserver/web/,RU,Geoportal,Open,Dataset,Russian Federation,Government,GeoServer,GeoServer API,,,,,,,,,,,
transportmosru,Сервер геоданных портала Московский транспорт,https://transport.mos.ru/geoserver/web/,RU,Geoportal,Open,Dataset,Russian Federation,Government,GeoServer,GeoServer API,,,,,,,,,,,
geoportalgov39ru,Геопортал Калининградской области,https://geoportal.gov39.ru/,RU,Geoportal,Open,Dataset,Russian Federation,Government,GeoServer,GeoServer API,,,,,,,,,,,
mapgovkz,ГИС-портал проекта Национальная инфраструктура пространственных данных Республики Казахстан,https://map.gov.kz,RU,Geoportal,Open,Dataset,Kazakhstan,Government,GeoServer,GeoServer API,,,,,,,,,,,
sdgarmstatam,Armenian SDG data portal,https://sdg.armstat.am,EN,Indicators catalog,Open,Indicator,Armenia,Government,OpenSDG,,,,,,,,,,,,
lgtgisaariru,ArcGIS геосервер Арктического и антарктического научно-исследовательского института,https://lgtgis.aari.ru/arcgis/rest/,RU,Geoportal,Open,Dataset,Russian Federation,Academy,ArcGIS Server,ArcGIS REST Services,,,,,,,,,,,
geoportalgcrasru,ArcGIS геосервер Геофизического центра Российской кадемии наук,https://geoportal.gcras.ru/arcgis/rest/services,RU,Geoportal,Open,Dataset,Russian Federation,Academy,ArcGIS Server,ArcGIS REST Services,,,,,,,,,,,
agoracleasutkru,ArcGIS геосервер Информационно-аналитической системыа регулирования на транспорте,https://agoracle.asutk.ru/arcgis/rest/services,RU,Geoportal,Open,Dataset,Russian Federation,Government,ArcGIS Server,ArcGIS REST Services,,,,,,,,,,,
gissgmru,ArcGIS геосервер Государственного геологического музея им. Вернадского,https://gis.sgm.ru/server/rest/services,RU,Geoportal,Open,Dataset,Russian Federation,Government,ArcGIS Server,ArcGIS REST Services,,,,,,,,,,,
giswatergovkg,Геоинформационный портал о воде Кыргызской республики,https://gis.water.gov.kg,RU,Geoportal,Open,Dataset,Russian Federation,Government,ArcGIS Server,ArcGIS REST Services,,,,,,,,,,,
